MLS #,Cat,Status,Address,City,County,Building Units Total,Sub Type,Status Contractual Search Date,List Office Name,Current Price
PAPH2157146,MUL,ACT,431 W Chelten Ave,Philadelphia,"Philadelphia, PA",4,Other,9/20/2022,Coldwell Banker Realty (CBPRECON),"$780,000 "
PAMC2052076,MUL,ACT,204 S Chestnut St,Ambler,"Montgomery, PA",4,Quadruplex,9/14/2022,RE/MAX 2000 (RM2000),"$799,900 "
PAPH2159242,MUL,ACT,4508 N Broad St,Philadelphia,"Philadelphia, PA",4,Other,9/14/2022,DRG Philly (55804),"$325,000 "
PAPH2158316,MUL,ACT,5134 Spruce St,Philadelphia,"Philadelphia, PA",4,Other,9/22/2022,"Compass Pennsylvania, LLC (COMPASS1)","$599,000 "
PAPH2158108,MUL,ACT,1011 S 47th St,Philadelphia,"Philadelphia, PA",4,Quadruplex,9/15/2022,"Compass Pennsylvania, LLC (COMPASS1)","$725,000 "
PAPH2158946,MUL,ACT,5819 Angora Ter,Philadelphia,"Philadelphia, PA",3,Other,9/12/2022,Keller Williams Philadelphia (KELWLMCC),"$429,900 "
PAPH2158394,MUL,ACT,2337 S 13th St,Philadelphia,"Philadelphia, PA",4,Other,9/10/2022,Mercury Real Estate Group (MERCURY1),"$1,800,000 "
PADE2033100,MUL,ACT,100 Chester,Darby,"Delaware, PA",1,Other,9/9/2022,"Long & Foster Real Estate, Inc. (LF-HAVT)","$320,000 "
PAPH2158268,MUL,ACT,2036-40 Cecil B Moore Ave,Philadelphia,"Philadelphia, PA",4,Other,9/9/2022,"TCS Management, LLC (55728)","$950,000 "
PADE2033574,MUL,ACT,144 W 22nd St,Chester,"Delaware, PA",4,Other,9/6/2022,Keller Williams Real Estate - Media (KELWLMDA),"$739,000 "
PAPH2156422,MUL,ACT,4222 Girard Ave,Philadelphia,"Philadelphia, PA",4,Quadruplex,9/6/2022,Patterson-Schwartz-Newark (PS-COLL),"$425,000 "
PAMC2051058,MUL,ACT,107 S Easton Rd,Glenside,"Montgomery, PA",4,Other,9/3/2022,RE/MAX Legacy (RMLEGACY),"$895,000 "
PAPH2153978,MUL,ACT,7162 Torresdale Ave,Philadelphia,"Philadelphia, PA",2,Other,9/4/2022,Re/Max One Realty (RMEST-FE),"$549,900 "
PABU2035356,MUL,ACT,930-932 Woodbourne Rd,Langhorne,"Bucks, PA",2,Other,9/4/2022,Homestarr Realty (HOMSTAR),"$374,900 "
PAPH2155998,MUL,ACT,1932 N 31st St,Philadelphia,"Philadelphia, PA",2,Other,9/2/2022,RE/MAX Affiliates (RMAFFIL),"$275,000 "
PAMC2048392,MUL,ACT,629 Garfield Ave,Lansdale,"Montgomery, PA",4,Quadruplex,9/1/2022,Coldwell Banker Hearthside (CBREALTY),"$664,900 "
PAPH2154432,MUL,ACT,1300 Harrison St,Philadelphia,"Philadelphia, PA",4,Other,8/29/2022,"Dan Real Estate, Inc. (DAN)","$630,000 "
PAPH2154374,MUL,ACT,2308 Watkins St,Philadelphia,"Philadelphia, PA",1,Other,8/29/2022,OCF Realty LLC (OCFRLTY),"$1,275,000 "
PAPH2153194,MUL,ACT,1216-22 N 7th St,Philadelphia,"Philadelphia, PA",3,Other,8/29/2022,JBMP Group (JBMPG1),"$5,100,000 "
PAPH2119754,MUL,ACT,2554 E Clearfield St,Philadelphia,"Philadelphia, PA",4,Quadruplex,8/27/2022,RE/MAX Realty Services-Bensalem (RMRESER),"$585,000 "
PAPH2153570,MUL,ACT,2532 Coral St,Philadelphia,"Philadelphia, PA",2,Other,8/25/2022,"Flatiron Realty Group, LLC (FLATIRON1)","$799,000 "
PAPH2153246,MUL,ACT,2337-41 S Alder St,Philadelphia,"Philadelphia, PA",4,Quadruplex,8/22/2022,OCF Realty LLC (OCFRLTY),"$725,000 "
